Month,Field Block,Protected Block,Primary Tasks,Target Channel
January,Minimal field harvest,Spinach/arugula/lettuce,Seed ordering planning repairs,CSA chefs
February,Early carrots/beets if workable,Greens + herb starts,Compost and stale seedbed prep,Chefs market
March,Potatoes peas brassica transplants,Lettuce herbs increase,Install drip and netting,CSA chefs
April,Succession greens roots,First cucumbers under cover,Weekly scouting and side-dress,CSA market chefs
May,Ginger turmeric flowers,Tomato cucumber basil under cover,Wildlife checks and mulching,CSA chefs
June,Basil flowers quick-turn crops,Peak cucumber tomato herb production,Heat management and high-frequency harvest,Chefs market
July,Continue basil flowers,Ginger turmeric active growth,Flush drip and intensive scouting,Chefs market
August,Seed fall roots and brassicas,Start fall greens in cover,Prepare cool-season cover crop,CSA chefs
September,Fall greens peak planting,Fall lettuce spinach,Cover crop transitions in open beds,CSA institutions
October,Roots and brassica harvest,Fall/winter greens,Compost finished beds and seed rye clover,CSA market
November,Limited field harvest,Protected greens continue,Internal row cover as needed,CSA chefs
December,Field cover-cropped,Protected greens and herbs,Year-end reporting and planning,CSA renewals
